,ARRANGED,PRESIDENTIAL SECRETARIAT OFFICE,PH3,,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,LOLC - CHAIRMAN HEAD OFFICE,GPC / RC,Rajagiriya,,,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Heritage Teas (Pvt) Ltd,SP,,,,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,M K D G Malinga,dry wood termite,,,,,,,,,,,,,,,,,,,✅,,,,,,,,,,,,,,,,,
,ARRANGED,MD bangalow commercial bank,MC ,,,,,,,,,,,,,,,,,,,,,,,,16:00:00,✅,,,,,,,,,,,
,ARRANGED,Antler fabric ,GPC / RC,"Madapatha, piliyandala",,,,,,,,,,,,,,,,,,,,,,,15:00:00,❎,,,,,,,,,,,
,ARRANGED,pettah bus stand ,TC,PETTAH,,,,,,,,,,,,,,,,,,,,,,,✅,,,,,,,,,,,,
,ARRANGED,mr shamal - macocean,gpc rc mc,rajagiriya,,,,,,,,,,,,,,,,,,,,,✅,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRO PEST OPARATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Maliban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Mr JK Fenendo (Pro Pest Job),,,,,,,wasantha,,,,,,,,,,,,,,,,,,,✅,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,05 .,DROPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO BE ,Mr Kanchana Wijesekara,GPC/MC/RC,Mathara,0777213817 (Mr Nuwan),Monthly,2nd week,,Wijee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FINISHED,SRI LANKA CRICKET,RC,,,8 trt per month,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FINISHED,GOlf Club Nuwara Eliya,GPC/RC,Nuwara Eliya,,Once in 2 monrhs,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FINISHED,CICT,RC/CICT,Port,,Weekly,Friday,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FINISHED,Apeksha Hospital,RC,Maharagama,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC/RC,TO BE ,Kandetiya Agro Products Pvt Ltd,,Pannala,,Monthly,Tuesday,,wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLIENT,ARRANGED,,TREATMENT,LOCATION,CONTACT NUMBER,FREQUENCY,Prefer Day,Duration and PCT ,SALESMAN,,WED,THU,FRI,SAT,SUN,MON,TUE,WED,THU,FRI,SAT,SUN,MON,TUE,WED,THU,FRI,SAT,SUN,MON,TUE,WED,THU,FRI,SAT,SUN,MON,TUE,WED,THU,FRI
,,TO BE ,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
01 .,MANULAS- MONTHLEY TREATMENTS,CONFIRMATION,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AMAGI FOODS PVT LTD,DONE,16,GPC/RC/FLY/MC,KATUNAYAKA,0770899800 (SHIVANTHI),MONTHLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ASIAN AGRO PRODUCTS,DONE,5,GPC,KATUNAYAKA,,,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ANTHLER GROUP,DONE,18,GPC,PILIYANDALA,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BELUMMAHARA MILLS,DONE,18,GPC,BELUMMAHARA,,Monthly,,,Wijenayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C E W A S (TANDEM SPEED),DONE,8,GPC/MC,RATHMALANA,0763591144 (Office),FORTNIGHTY,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C E W A S (TANDEM SPEED),DONE,11,MC,RATHMALANA,0763591144 (Office),FORTNIGHTY,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CEYLON ROYAL TEAS (Pvt) LTD,DONE,"20,21",GPC/MC,HOMAGAMA,0769955071 (SHRIMALEE),Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DINUTH CEYFOOD,DONE,14,GPC/RC/MC,JA ELA,0771054372 (Maheesha),Monthly,weekday after 2 pm,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DIMO,DONE,15,MC,PELIYAGODA,0742702934 (Mr Rashika),Monthly,Sturday 2pm,,Wijenayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DRUGS COPARATION (SL AYURVEDIC),DONE,17,GPC/RC/MC,NAWINNA,,Monthly,week day 10 am,,Janadara,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
11,EARL REEF HOTEL,DONE,6,GPC/RC/MC,BERUWALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ETHAL GROUP (PVT) LTD,DONE,4,MC,KAHAPOLA,0777254763 (PAWANI ),Monthly,SATURDAY,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,GILLS INTERNATIONAL,DONE,5,GPC+RC,KATUNAYAKA - BY KTN,0784249433 (Hasitha),Monthly,Sunday,3 hrs - 02 PCT,Pubudu,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,
15,GILLS INTERNATIONAL,DONE,19,FLY,KATUNAYAKA - BY KTN,0784249433 (Hasitha),Monthly,Monday,1.5 hrs - 02 PCT,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GILLS FOOD ,DONE,19,GPC+RC,KATUNAYAKE,0754322589 (DILSHANI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,GREEN VALEY APRTMENT,DONE,2,GPC/MC,HANWELLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,HERITAGE TEAS (PVT) LTD,DONE,17,RC,WELLAMPITIYA,0774133501 (Amal),Monthly,FRIDAY,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,HERITAGE TEAS (PVT) LTD,DONE,26,GPC (COCKROACH),WELLAMPITIYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,JETWING LAGOON WELLNESS,DONE,6,RC/GPC/MC,NEGAMBO,0707443116 (Mr Nihal),Monthly,1st week,,Wijenayaka,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,
21,LOLC TECHNOLOGIES (LOIT),DONE,11,,RAJAGIRIYA,,Monthly,,,JANADARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,NDB- MAIN BRANCH - 01,DONE,"14 , 15",GPC/RC,MALAMBE DR,,Monthly,weekday night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,NDB - MAIN BRANCH - 02,DONE,12,GPC/RC,MARINE DRIVE,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,NDB - MAIN BRANCH - 03,DONE,13,GPC/RC,GREEN LANKA,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NDB - MAIN BRANCH - 04,DONE,14,GPC/RC,NARAHENPITA,,Monthly,weekday,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,NDB - MAIN BRANCH - 05,DONE,12,GPC/RC,VAUXHALL STREET,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,NDB - MAIN BRANCH - 06,DONE,12,GPC/RC,PETTAH,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,NDB - NAWAM MAWATHA,DONE,12,GPC/MC/ RC,NAWAM MAWATHA,,Monthly,2 pm Sunday,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,NDB - DARMAPALA MAWATHA,DONE,12,GPC/MC/ RC,DARMPALA MAWATHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,S.T ANTHONY’S BIZ (Pvt) LTD,DONE,14,GPC+RC,JA ELA,0715165030 (HIMASHA),Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NDC - EXPORTS (Pvt) LTD,DONE,18,FLY,PANNALA,,,3rd week (saturday),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NDC - EXPORTS (Pvt) LTD,DONE,4,GPC/RC,PANNALA,0773962202 (Mr sanka),Monthly,1st week (Saturday),,Wijenayaka,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SERENDIB LOUNGE (SL AIRLINE),DONE,1,COCKROACH ,AIRPORT,,Monthly,,,Pubudu,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SPECTRA LOGISTICS,DONE,8,GPC/RC/MC,DC,,Monthly,,,Wasantha,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,
35,SPECTRA LOGISTICS,DONE,8,GPC/RC/MC,DEPOT,,Monthly,,,Wasantha,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,
36,SPECTRA LOGISTICS,DONE,2,GPC/RC/MC,WATTALA,,Monthly,,,Wasantha,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,SPECTRA LOGISTICS,DONE,2,GPC/RC/MC,SAPUGASKANDA,,Monthly,,,Wasantha,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,SPECTRA LOGISTICS,DONE,2,GPC/RC,NITTABUWA,,Monthly,,,Wasantha,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,SPECTRA LOGISTICS,DONE,2,GPC/RC/MC,JA ELA ( WH ),,Monthly,,,Wasantha,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,WICHY BEVERAGE,DONE,6,GPC/RC,SEETHAWAKAPURA,,Monthly,,,Wasantha,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,
41,SUNIL TRADERS,DONE,4,RC,HOKANDARA,,Monthly,,,Janadara,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,GILLS WATTALA (ANDREWS PREIMIUM),DONE,26,GPC/RC,WATTALA,0754322589 (DILSHANI),Monthly,,,WASANTHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,OLEENA NATURAL FOODS,DONE,"23,24",GPC/RC/MC ( ANT ),DIVLAPITIYA,,Monthly,,,DILHAN,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,
44,FORT HERITAGE VENTURES (HOTEL),DONE,"9 , 24",GPC/MC/RC,MATARA,0777213817 (Mr Nuwan),Monthly,,,Wijee,,,,,,,,,,RC ✅,,,,,,,,,,,,,,,,,,,,,,
45,FORT HERITAGE VENTURES (RESIDENCE),DONE,"9 ,  24",GPC/MC/RC,MATARA,077213817 (Mr Nuwan),Monthly,,,Wijee,,,,,,,,,,RC ✅,,,,,,,,,,,,,,,,,,,,,,
46,CEYLON ROYAL TEAS (Pvt) LTD,DONE,"20 , 21",GPC/RC,HOMAGAMA,0769955071 (SHRIMALEE),Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,BOBING GROUP (APPAREL),DONE,25,GPC/RC/MC,MT LAVINIA,0763590982 (Dinushi),Monthly,,,Wijenayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ETHICAL EXTRACT (Pvt) LTD,DONE,21,GPC+RC,KADAWATHA,0716402663 (RANDIKA),Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,FLEMINGO RETAIL HOSPITALITY,TO BE,,GPC,BANDARANAYAKE AIRPORT,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SETHMA HOSPITAL,DONE,31,GPC/RC/MC,GAMPAHA,718623720 (krishantha),Monthly,,,Suraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,SETHMA HOSPITAL,TO BE,,MC,GAMPAHA,,Fortnightly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,E. L. S CONSTRUCTION,DONE,28,GPC/RC,KATUWAWELA,0713281422 (NIRMAL),Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,JETWING LAGOON WELLNESS,ARRANGED,31,MC,NEGAMBO,,Fortnight,3rd week,,Wijenayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,NELNA FARM (Pvt) LTD,ARRANGED,25,GPC/RC/MC,MITHIRIGALA,,Monthly,2 pm Saturday,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,BARISTA COFFEE LANKA (Pvt) LTD,TO BE,,GPC/,KADAWATHA,0703606012 (Shane),Fortnightly,,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,LRH (LADY RICH WAY),DONE,2026-06-28,RC/RCV,BORELLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,SILVER MILL HEAD OFFICE,TO BE,,GPC/RC,COLOMBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,GIZ,TO BE,,,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,KELANIYA PRADESHIYA SABHA,TO BE,,RC,KELANIYA,711775624,Monthly,,,pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,UPALI MILLS ,TO BE,,GPC+RC,MARAVILA,,Monthly,Not specified,2 hrs - 02 PCT,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,PRO PEST OPARATIONS - MONTHLY,,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CONTINENTAL TEAS,DONE,27,GPC/RC,JA ELA,CHAMAL,Monthly,NO,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MR AKALANKA,DONE,5,GPC/RC,COLOMBO,,Monthly,1st Sunday,,Wasantha,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TICO ADRA,DONE,3,GPC,MAHARAGAMA,,Fortnightly,Friday,,Wasantha,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,MANULAS- WEEKLEY TREATMENTS,Column 3,DATE,Column 2,Column 3 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ALIYA LOUNGE,DONE,"5,12,19,27",GPC/RC,COLOMBO,,Weekly,SUNDAY,,Pubudu,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BRITISH PUB,DONE,"5,12,22,26",GPC/RC,COLOMBO,,Weekly,SUNDAY,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CWIT (COLOMBO WEST TERMINAL),DONE,"12 , 26",FLY/MC,PORT,,FORTNIGHTLY,SUNDAY,,Pubudu,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,
4,COMMERCIAL CREDIT CENTRE,DONE,"12,19,26",MC (FOGGING),PILIYANDALA,,Weekly,SUNDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,KALUBOWILA TEACHING HOSPITAL,DONE,"2,13,25,30",RCV / RC,NUGEGODA,,Weekly,,,BOSS,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NDB - DHARMAPALA MAWATHA,DONE,"5,12,19,26",MC,,,Weekly,SUNDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NDB - NAWAM MAWATHA,DONE,"5,12,19,26",MC,,,Weekly,SUNDAY,,BOSS,,,,✅,,,,,,,MC,,,,,,,GPC - RC - MC,,,,,,,MC,,,,,,,
8,SILVERMILL GROUP,ARRANGED,As per schedule,GPC/RC/FLY,,,,,,,,,,,✅,,,,,,,,,,,,,,FULL,,,,,,,,,,,,,
9,FOOD STUDIO PVT LTD,DONE,1,GPC,BANDARANAYAKE AIRPORT,,Weekly,1st week Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MALIBAN BISCUIT MANUFACTORIES PVT LTD,ARRANGED,19,GPC/RC/FLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FRENCH INTERNATIONAL SCHOOL - 01,TO BE,,MC,PARK ROAD - KIRULAPANA,,,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FRENCH INTERNATIONAL SCHOOL - 02,TO BE,,MC,PARK ROAD - KIRULAPANA,,,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,PRO PEST OPARATIONS - WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Continental Food,DONE,23,GPC/ RC ,Peliyagoda,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Continental Food,DONE,"1,8,15,23",FLY,Peliyagoda,,,,,,,✅,,,,,,,✅,B✅,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,DAILY OPARATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIRPORT & AVIATION- KATUNAYAKE,ARRANGED,,GPC/RC/MC,KATUNAYAKE,,,,,,,KTN,KTN,KTN,KTN,,KTN,KTN,KTN,KTN,KTN,KTN,,KTN,KTN,KTN,KTN,KTN,KTN,,KTN,KTN,KTN,KTN,KTN,KTN,,KTN,KTN,,KTN,KTN
2,COMMERCIAL CREDIT TRAINING CENTRE,ARRANGED,,GPC/RC/MC,PILIYANDALA,,,,,,,KTW,KTW,KTW,KTW,,KTW,KTW,KTW,KTW,KTW,KTW,,KTW,KTW,KTW,KTW,KTW,KTW,,KTW,KTW,KTW,KTW,KTW,KTW,,KTW,KTW,,KTW,KTW
3,FINAGLE LANKA PVT LTD,ARRANGED,,GPC/RC/MC,KATUNAYAKE,,,,,,,KTN,KTN,KTN,KTN,,KTN,KTN,KTN,KTN,KTN,KTN,,KTN,KTN,KTN,KTN,KTN,KTN,,KTN,KTN,KTN,KTN,KTN,KTN,,KTN,KTN,,KTN,KTN
4,SERANDIB MILLS ,ARRANGED,,GPC/RC/MC,COLOMBO PORT,,,,,,,✅,✅,✅,✅,,✅,✅,✅,✅,,,,,,,,,,,,,,,,,,,,,,
5,SERANDIB MILLS - HO,ARRANGED,,RC,Orugodawatta,,,,,,,,✅,,✅,,,✅,,✅,,,,,,,,,,,,,,,,,,,,,,
6,TOPAZ HOTEL,ARRANGED,,RC,Kandy,,,,,,,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND,KND
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,ON REQUEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,COMMERCIAL CREDIT,TO BE,,GPC/RC/MC,KOLLUPITIYA,,Monthly,,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,COMMERCIAL CREDIT & FINANCE - NE,TO BE,,,NUWARA ELIYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SILVER MILL HEAD OFFICE,ARRANGED,31,MC,,,Monthly,,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LOLC TECHNOLOGIES,TO BE,,RC,COLOMBO - 02,,Monthly,weekday after 2 pm,1 PCT,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MR HISHAM`S HOUSE,DONE,"1,25",MC,COLPETTY,,Monthly,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MR HUSSAIN`S HOUSE,DONE,2,MC,,,Monthly,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HERITAGE TEAS (PVT) LTD,DONE,4,STORED PEST,WELLAMPITIYA,,Monthly,,,Pubudu,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NDB - HAVELOCK TOWN,DONE,2026-02-10,MC,Havelock Town,,Monthly,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NDB -KURUNEGALA,DONE,6,MC,Piliyandala,,,,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,
10,NDB- GREEN LANKA,DONE,13,MC,Nawam Mawatha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NDB- BADULLA,DONE,7,MC,BADULLA,,,,,,,,,,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,
12,NDB- KOCCHIKADE,DONE,18,TC,KOCCHIKADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NDB - HO-IBU,DONE,"19,24",ANT,HEAD OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,NDB- KEKIRAWA,DONE,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HNB - 28,,,TREATMENT,LOCATION,CONTACT NUMBER,,,,SALESMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZONE 01  (FORT AND PETTAH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Call Center at IFJ Tower,DONE,28,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,City Office Branch,DONE,18,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,City Office-Audit,DONE,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,City Office-Centralize Operation,DONE,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,City Office-CTP,DONE,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IBU,DONE,27,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pettah,DONE,17,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pettah Metro,DONE,27,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ports Authority,DONE,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sea Street,DONE,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZONE 02 (NORTH COLOMBO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Aluthkade,DONE,23,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Grandpass,DONE,23,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gunasinghepura Store,DONE,27,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Hulftsdorp,DONE,23,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jampattah,DONE,17,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Kotahena,DONE,23,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mutwal,DONE,27,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZONE 03- COLOMBO SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bambalapitiya,DONE,17,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Kollupitiya,DONE,17,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pamankada,DONE,17,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Thimbirigasyaya,DONE,28,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Wellawatta,DONE,15,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZONE 04 - COLOMBO CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Asiri Central Hospital,DONE,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Barnes Place,DONE,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Green Path,DONE,27,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Maradana,DONE,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Nawaloka Hospital,DONE,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Nawam Mawatha,DONE,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
